Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
74988633,00000580,false,Rx,0,8,04,11,04,01,05,FF,00,F0,
74996625,000000A8,false,Rx,0,8,FF,0F,80,0F,80,FF,FF,FF,
74997620,00000000,false,Rx,0,8,00,00,04,00,00,00,00,01,
74998620,00000000,false,Rx,0,8,00,00,00,00,00,00,00,00,
74998639,000000AA,false,Rx,0,8,FF,0F,80,FF,FF,FF,FF,FF,
75000617,00000580,false,Rx,0,8,04,11,04,01,05,FF,00,F0,
75001615,000004E4,false,Rx,0,8,64,01,FF,FF,FF,FF,FF,FF,
75005609,000004ED,false,Rx,0,8,6D,01,FF,FF,FF,FF,FF,FF,
75007611,000000CE,false,Rx,0,8,00,80,00,80,00,80,00,80,
75008533,000004EE,false,Rx,0,8,6E,01,FF,FF,FF,FF,FF,FF,
75009605,000003B6,false,Rx,0,2,37,FD,00,00,00,00,00,00,
75010605,00000336,false,Rx,0,7,00,00,00,FE,FF,FE,FF,00,
75010622,000000FA,false,Rx,0,3,FF,00,FF,00,00,00,00,00,
75012549,000001A0,false,Rx,0,8,FF,FF,00,08,80,00,F8,FF,
75013529,00000130,false,Rx,0,5,00,02,34,3F,77,00,00,00,
75016523,000004E5,false,Rx,0,8,65,01,FF,FF,FF,FF,FF,FF,
75017525,000003B8,false,Rx,0,2,37,FD,00,00,00,00,00,00,
75018524,000000E2,false,Rx,0,8,FF,FF,E7,FC,FF,FF,FF,10,
75020521,000004E7,false,Rx,0,8,67,01,FF,FF,FF,FF,FF,FF,
75021591,000001B5,false,Rx,0,6,FF,FF,02,F0,0F,FF,00,00,
75021609,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75022591,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75024536,000004C4,false,Rx,0,8,44,01,FF,FF,FF,FF,FF,FF,
75027514,000004C5,false,Rx,0,8,45,01,FF,FF,FF,FF,FF,FF,
75036576,000002FC,false,Rx,0,7,80,01,05,FF,FF,FF,FF,00,
75043568,000001D0,false,Rx,0,8,44,FF,40,C6,00,00,3D,00,
75048562,000000C0,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
75055554,000005A9,false,Rx,0,8,40,2A,00,14,FF,FF,FF,FF,
75057552,000004C0,false,Rx,0,8,41,02,FF,FF,FF,FF,FF,FF,
75058552,000000EA,false,Rx,0,8,8F,FF,E0,FD,FF,FF,FF,2B,
75059547,0000026C,false,Rx,0,3,FC,FF,FF,00,00,00,00,00,
75061546,000003BE,false,Rx,0,2,B3,F0,00,00,00,00,00,00,
75062545,00000304,false,Rx,0,2,E3,FF,00,00,00,00,00,00,
75063544,000001D2,false,Rx,0,6,F0,0F,FF,0C,F0,FF,00,00,
75065540,000005A9,false,Rx,0,8,40,EC,00,14,FF,FF,FF,FF,
75067539,0000019E,false,Rx,0,8,00,FA,20,FC,F0,63,FF,0C,
75068536,000001A0,false,Rx,0,8,FF,8F,00,08,80,00,28,E1,
75069535,000001B5,false,Rx,0,6,FF,FF,02,F0,0F,FF,00,00,
75070535,000001A6,false,Rx,0,8,00,00,00,00,00,00,14,F0,
75071537,0000031D,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
75072459,000003B8,false,Rx,0,2,37,FD,00,00,00,00,00,00,
75074457,000004F3,false,Rx,0,8,73,01,FF,FF,FF,FF,FF,FF,
75075481,000005A9,false,Rx,0,8,40,ED,00,14,FF,FF,FF,FF,
75079524,000001B5,false,Rx,0,6,FF,FF,02,F0,0F,FF,00,00,
75083518,000002CA,false,Rx,0,2,79,FF,00,00,00,00,00,00,
75085517,000005A3,false,Rx,0,8,01,03,80,FF,FF,FF,FF,FF,
75086516,000005A9,false,Rx,0,8,40,4A,00,14,FF,FF,FF,FF,
75091510,00000380,false,Rx,0,7,42,31,31,36,38,30,36,00,
75093510,000003B3,false,Rx,0,6,F1,FF,FF,7F,00,F1,00,00,
75095504,000005A9,false,Rx,0,8,40,47,00,14,FF,FF,FF,FF,
75097506,000000A8,false,Rx,0,8,C0,09,00,00,00,0F,00,00,
75098506,000000AA,false,Rx,0,8,B7,09,00,00,FF,FF,04,00,
75100499,000000BE,false,Rx,0,5,5F,FF,FF,FF,FF,00,00,00,
75102499,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
75103497,000003B4,false,Rx,0,8,FF,FF,09,FF,FF,FF,FF,FF,
75105497,000000C8,false,Rx,0,6,00,80,FD,00,80,BF,00,00,
75106493,000005A9,false,Rx,0,8,40,24,00,14,FF,FF,FF,FF,
75107497,000000CE,false,Rx,0,8,00,80,00,80,00,80,00,80,
75108491,0000019E,false,Rx,0,8,00,FA,40,FC,F0,63,FF,2C,
75110488,000001A0,false,Rx,0,8,FF,8F,00,08,80,00,48,01,
75112488,000002EA,false,Rx,0,8,FF,00,64,FF,23,FF,FF,FF,
75113485,00000130,false,Rx,0,5,00,02,34,3F,88,00,00,00,
75113506,000003DF,false,Rx,0,3,5F,B9,FC,00,00,00,00,00,
75114481,00000242,false,Rx,0,3,3F,FC,FF,00,00,00,00,00,
75115481,000005A9,false,Rx,0,8,40,B8,00,14,FF,FF,FF,FF,
75117481,000002E6,false,Rx,0,8,00,00,64,32,20,FF,FF,FF,
75117498,000002F0,false,Rx,0,2,34,F0,00,00,00,00,00,00,
75121475,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75122476,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75123474,00000592,false,Rx,0,8,40,22,00,31,FF,FF,FF,FF,
75126470,000005A9,false,Rx,0,8,40,D7,00,94,FF,FF,FF,FF,
75135461,000002FA,false,Rx,0,5,FF,07,FF,FF,FF,00,00,00,
75136458,000005A9,false,Rx,0,8,40,23,00,14,FF,FF,FF,FF,
75144448,000001D0,false,Rx,0,8,44,FF,41,C6,00,00,3D,00,
75146445,000005A9,false,Rx,0,8,40,18,00,14,FF,FF,FF,FF,
75153435,000004C1,false,Rx,0,8,44,12,FE,FF,FF,FF,FF,FF,
75156435,000005A9,false,Rx,0,8,40,32,00,14,FF,FF,FF,FF,
75158432,000000EA,false,Rx,0,8,8F,FF,E0,FD,FF,FF,FF,2B,
75159431,000004C3,false,Rx,0,8,44,01,FF,FF,FF,FF,FF,FF,
75165422,00000330,false,Rx,0,8,4A,AA,03,0A,FF,FF,80,05,
75166422,000005A9,false,Rx,0,8,40,3F,00,14,FF,FF,FF,FF,
75168421,000001A6,false,Rx,0,8,00,00,00,00,00,00,A4,F1,
75170416,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
75171416,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
75171434,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
75172415,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
75176411,000005A9,false,Rx,0,8,40,48,01,14,FF,FF,FF,FF,
75190395,000005ED,false,Rx,0,8,01,03,88,00,00,00,00,00,
75191395,000002F4,false,Rx,0,4,E8,FF,1E,F8,00,00,00,00,
75192391,00000388,false,Rx,0,7,04,01,68,15,C2,02,2C,00,
75193389,000005EE,false,Rx,0,8,01,03,88,00,00,00,00,00,
75196386,000000A8,false,Rx,0,8,BB,04,00,00,00,0F,00,00,
75198386,000000AA,false,Rx,0,8,B2,04,00,00,FF,FF,04,00,
75201381,00000388,false,Rx,0,7,04,01,68,15,C2,02,2C,00,
75206376,000000CE,false,Rx,0,8,00,80,00,80,00,80,00,80,
75210370,000001A0,false,Rx,0,8,FF,8F,00,08,80,00,98,52,
75211369,000005E0,false,Rx,0,8,10,FF,FF,02,00,FF,FF,FF,
75212368,00000130,false,Rx,0,5,00,02,34,3F,99,00,00,00,
75218361,000000E2,false,Rx,0,8,FF,FF,E7,FC,FF,FF,FF,10,
75221360,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75222358,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75233344,000002CA,false,Rx,0,2,79,FF,00,00,00,00,00,00,
75244330,000001D0,false,Rx,0,8,44,FF,42,C6,00,00,3D,00,
75245329,000004C4,false,Rx,0,8,45,12,FF,FF,FF,FF,FF,FF,
75248325,000000C0,false,Rx,0,2,F1,FF,00,00,00,00,00,00,
75258318,000000EA,false,Rx,0,8,8F,FF,E0,FD,FF,FF,FF,2B,
75261310,00000598,false,Rx,0,8,40,F8,00,15,FF,FF,FF,FF,
75267303,000001A6,false,Rx,0,8,00,00,00,00,00,00,34,F3,
75270302,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
75271262,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
75272297,000002EA,false,Rx,0,8,FF,00,64,FF,23,FF,FF,FF,
75272315,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
75273297,00000242,false,Rx,0,3,3F,FC,FF,00,00,00,00,00,
75274296,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
75275294,000002E6,false,Rx,0,8,00,00,64,32,20,FF,FF,FF,
75276292,000002F0,false,Rx,0,2,34,F0,00,00,00,00,00,00,
75278294,000001D2,false,Rx,0,6,F0,0F,FF,1C,F0,FF,00,00,
75291244,000005F3,false,Rx,0,8,01,02,3A,FF,FF,FF,FF,FF,
75296271,000000A8,false,Rx,0,8,C8,0E,00,00,00,0F,03,00,
75298267,000000AA,false,Rx,0,8,BC,0E,00,00,FF,FF,04,00,
75300265,000000BE,false,Rx,0,5,0F,FF,FF,FF,FF,00,00,00,
75301265,0000023A,false,Rx,0,4,11,FF,FF,FF,00,00,00,00,
75302266,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
75304259,000000C8,false,Rx,0,6,00,80,FD,00,80,D2,00,00,
75306256,000000CE,false,Rx,0,8,00,80,00,80,00,80,00,80,
75308257,0000019E,false,Rx,0,8,00,FA,E0,FC,F0,63,FF,CC,
75310252,000001A0,false,Rx,0,8,FF,8F,00,08,80,00,E8,A2,
75312251,00000130,false,Rx,0,5,00,02,34,3F,BA,00,00,00,
75318243,000003DF,false,Rx,0,3,9F,B9,FC,00,00,00,00,00,
75321238,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75322240,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75336222,000004C5,false,Rx,0,8,73,12,FF,FF,FF,FF,FF,FF,
75340218,000004E7,false,Rx,0,8,73,11,FF,FF,FF,FF,FF,FF,
75344211,000004F2,false,Rx,0,8,73,01,FF,FF,FF,FF,FF,FF,
75345214,000001D0,false,Rx,0,8,44,FF,43,C6,00,00,3D,00,
75347209,00000596,false,Rx,0,8,01,03,80,FF,FF,FF,FF,FF,
75348209,000004E0,false,Rx,0,8,64,11,FF,FF,FF,FF,FF,FF,
75350205,000004E4,false,Rx,0,8,65,11,FF,FF,FF,FF,FF,FF,
75351206,000002F4,false,Rx,0,4,E8,FF,1E,F8,00,00,00,00,
75352205,000004E5,false,Rx,0,8,67,01,FF,FF,FF,FF,FF,FF,
75353203,00000380,false,Rx,0,7,42,31,31,36,38,30,36,00,
75354201,000004ED,false,Rx,0,8,6E,11,FF,FF,FF,FF,FF,FF,
75355157,000001FC,false,Rx,0,2,A1,02,00,00,00,00,00,00,
75356198,000004EE,false,Rx,0,8,72,11,FF,FF,FF,FF,FF,FF,
75357198,000004F0,false,Rx,0,8,72,01,FF,FF,FF,FF,FF,FF,
75359196,000000EA,false,Rx,0,8,8F,FF,E0,FD,FF,FF,FF,2B,
75360196,000005E0,false,Rx,0,8,10,FF,FF,02,00,FF,FF,FF,
75362194,000005E5,false,Rx,0,8,01,03,88,FF,FF,FF,FF,FF,
75364189,0000021A,false,Rx,0,3,00,20,A4,00,00,00,00,00,
75365188,00000202,false,Rx,0,2,FE,FF,00,00,00,00,00,00,
75369185,000001A6,false,Rx,0,8,00,00,00,00,00,00,C4,F4,
75371182,00000388,false,Rx,0,7,04,01,68,15,C2,02,2C,00,
75378176,000002EA,false,Rx,0,8,FF,00,64,FF,23,FF,FF,FF,
75380172,000002E6,false,Rx,0,8,00,00,64,32,20,FF,FF,FF,
75383166,000002CA,false,Rx,0,2,79,FF,00,00,00,00,00,00,
75396152,000000A8,false,Rx,0,8,C3,09,00,00,00,0F,03,00,
75398149,000000AA,false,Rx,0,8,B7,09,00,00,FF,FF,04,00,
75406141,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
75410135,000001A0,false,Rx,0,8,00,80,00,08,80,00,48,F2,
75412133,00000130,false,Rx,0,5,00,02,34,3F,CB,00,00,00,
75421123,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75422125,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75427118,000004F3,false,Rx,0,8,41,12,FF,01,FF,FF,FF,FF,
75431114,00000242,false,Rx,0,3,3F,FC,FF,00,00,00,00,00,
75432112,00000480,false,Rx,0,8,40,01,FF,FF,FF,FF,FF,FF,
75433109,000002F0,false,Rx,0,2,34,F0,00,00,00,00,00,00,
75436106,000004C0,false,Rx,0,8,41,01,FF,FF,FF,FF,FF,FF,
75439103,000004F8,false,Rx,0,8,00,11,FF,FF,FF,FF,FF,FF,
75445099,000001D0,false,Rx,0,8,44,FF,44,C6,00,00,3D,00,
75448095,000000C0,false,Rx,0,2,F2,FF,00,00,00,00,00,00,
75453087,0000033A,false,Rx,0,5,18,45,81,FD,78,00,00,00,
75458084,000000EA,false,Rx,0,8,8F,FF,E0,FD,FF,FF,FF,2B,
75468073,000001A6,false,Rx,0,8,00,00,00,00,00,00,54,F6,
75477062,000001D2,false,Rx,0,6,F0,0F,FF,2C,F0,FF,00,00,
75496044,000000A8,false,Rx,0,8,BE,04,00,00,00,0F,03,00,
75498039,000000AA,false,Rx,0,8,B2,04,00,00,FF,FF,04,00,
75500040,000000BE,false,Rx,0,5,AF,FF,FF,FF,FF,00,00,00,
75502039,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
75504032,000000C8,false,Rx,0,6,00,80,FD,00,80,F2,00,00,
75506030,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
75508029,0000019E,false,Rx,0,8,00,FA,90,FC,F0,63,FF,7C,
75510028,000005E0,false,Rx,0,8,10,FF,FF,02,00,FF,FF,FF,
75511057,000001A0,false,Rx,0,8,00,80,00,08,80,00,98,43,
75512026,00000130,false,Rx,0,5,00,02,34,3F,DC,00,00,00,
75513023,000002F4,false,Rx,0,4,E8,FF,1E,F8,00,00,00,00,
75515019,000004C1,false,Rx,0,8,43,12,FE,FF,FF,FF,FF,FF,
75518018,000003DF,false,Rx,0,3,9F,B9,FC,00,00,00,00,00,
75520018,000001B5,false,Rx,0,6,FF,FF,02,00,08,FF,00,00,
75521017,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75522015,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75531002,000002EA,false,Rx,0,8,FF,00,64,FF,23,FF,FF,FF,
75532005,000002E6,false,Rx,0,8,00,00,64,32,20,FF,FF,FF,
75544992,000001D0,false,Rx,0,8,44,FF,45,C6,00,00,3D,00,
75555975,000001FC,false,Rx,0,2,A2,02,00,00,00,00,00,00,
75557974,000000EA,false,Rx,0,8,8F,FF,E0,FD,FF,FF,FF,2B,
75567963,000001A6,false,Rx,0,8,00,00,00,00,00,00,E4,F7,
75595934,000000A8,false,Rx,0,8,C8,0E,00,00,00,0F,03,00,
75597932,000000AA,false,Rx,0,8,BC,0E,00,00,FF,FF,04,00,
75599931,000004C3,false,Rx,0,8,44,02,FF,FF,FF,FF,FF,FF,
75605924,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
75609918,000001A0,false,Rx,0,8,00,80,00,08,80,00,E8,93,
75610917,00000130,false,Rx,0,5,00,02,34,3F,ED,00,00,00,
75612916,0000033A,false,Rx,0,5,18,45,81,FD,78,00,00,00,
75618908,000004E2,false,Rx,0,8,62,01,FF,FF,FF,FF,FF,FF,
75620909,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75621903,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75644881,000001D0,false,Rx,0,8,44,FF,46,C6,00,00,3D,00,
75647881,000000C0,false,Rx,0,2,F3,FF,00,00,00,00,00,00,
75657864,000000EA,false,Rx,0,8,8F,FF,E0,FD,FF,FF,FF,2B,
75667855,000001A6,false,Rx,0,8,00,00,00,00,00,00,74,F9,
75674847,000001D2,false,Rx,0,6,F0,0F,FF,3C,F0,FF,00,00,
75675846,00000328,false,Rx,0,6,73,AC,1D,00,16,20,00,00,
75684839,000004C4,false,Rx,0,8,45,12,FF,FF,FF,FF,FF,FF,
75690830,000002EA,false,Rx,0,8,FF,00,64,FF,23,FF,FF,FF,
75691829,000002E6,false,Rx,0,8,00,00,64,32,20,FF,FF,FF,
75695826,000000A8,false,Rx,0,8,C3,09,00,00,00,0F,03,00,
75697823,000000AA,false,Rx,0,8,B7,09,00,00,FF,FF,04,00,
75699819,000000BE,false,Rx,0,5,5F,FF,FF,FF,FF,00,00,00,
75701818,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
75703814,000000C8,false,Rx,0,6,00,80,FD,00,80,12,00,00,
75705812,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
75707810,0000019E,false,Rx,0,8,00,FA,40,FC,F0,63,00,2C,
75709806,000005E0,false,Rx,0,8,10,FF,FF,01,00,FF,FF,FF,
75710807,000001A0,false,Rx,0,8,00,80,00,08,80,00,48,F2,
75711805,00000130,false,Rx,0,5,00,02,34,3F,FE,00,00,00,
75720797,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75721795,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75744772,000001D0,false,Rx,0,8,44,FF,47,C6,00,00,3D,00,
75756756,000001FC,false,Rx,0,2,A3,02,00,00,00,00,00,00,
75757757,000000EA,false,Rx,0,8,8F,FF,E0,FD,FF,FF,FF,2B,
75767736,000001A6,false,Rx,0,8,00,00,00,00,00,00,04,FB,
75772732,0000033A,false,Rx,0,5,18,45,81,FD,78,00,00,00,
75773730,000004C5,false,Rx,0,8,60,12,FF,FF,FF,FF,FF,FF,
75795718,000000A8,false,Rx,0,8,BE,04,00,00,00,0F,03,00,
75797714,000000AA,false,Rx,0,8,B2,04,00,00,FF,FF,04,00,
75805706,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
75809702,000001A0,false,Rx,0,8,00,80,00,08,80,00,98,43,
75810704,00000130,false,Rx,0,5,00,02,34,3F,00,00,00,00,
75820687,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75821686,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75847660,000001D0,false,Rx,0,8,44,FF,48,C6,00,00,3D,00,
75848656,000000C0,false,Rx,0,2,F4,FF,00,00,00,00,00,00,
75857650,000000EA,false,Rx,0,8,8F,FF,E0,FD,FF,FF,FF,2B,
75859644,000005E0,false,Rx,0,8,10,FF,FF,01,00,FF,FF,FF,
75867635,000004E0,false,Rx,0,8,62,12,FF,FF,FF,FF,FF,FF,
75869633,000001A6,false,Rx,0,8,00,00,00,00,00,00,94,FC,
75874627,000001D2,false,Rx,0,6,F0,0F,FF,4C,F0,FF,00,00,
75895606,000000A8,false,Rx,0,8,C8,0E,00,00,00,0F,03,00,
75897603,000000AA,false,Rx,0,8,BC,0E,00,00,FF,FF,04,00,
75899600,000000BE,false,Rx,0,5,0F,FF,FF,FF,FF,00,00,00,
75901601,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
75903596,000000C8,false,Rx,0,6,00,80,FD,00,80,32,00,00,
75905598,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
75907595,0000019E,false,Rx,0,8,00,FA,E0,FC,F0,63,00,CC,
75909591,000001A0,false,Rx,0,8,00,80,00,08,80,00,E8,93,
75911588,00000130,false,Rx,0,5,00,02,34,3F,11,00,00,00,
75911606,000001FE,false,Rx,0,2,FF,00,00,00,00,00,00,00,
75915586,00000304,false,Rx,0,2,E3,FF,00,00,00,00,00,00,
75920581,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75921578,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
75935564,000002CE,false,Rx,0,3,80,80,F0,00,00,00,00,00,
75944554,000001D0,false,Rx,0,8,44,FF,49,C6,00,00,3D,00,
75947552,000002CA,false,Rx,0,2,79,FF,00,00,00,00,00,00,
75950547,000004E2,false,Rx,0,8,44,02,FF,FF,FF,FF,FF,FF,
75954543,000004C1,false,Rx,0,8,43,11,FE,FF,FF,FF,FF,FF,
75955540,000004E5,false,Rx,0,8,67,01,FF,FF,FF,FF,FF,FF,
75956544,000001FC,false,Rx,0,2,A4,02,00,00,00,00,00,00,
75957540,000000EA,false,Rx,0,8,8F,FF,E0,FD,FF,FF,FF,2B,
75959538,000004C0,false,Rx,0,8,41,01,FF,FF,FF,FF,FF,FF,
75960536,000004F0,false,Rx,0,8,72,01,FF,FF,FF,FF,FF,FF,
75961534,000004C3,false,Rx,0,8,44,11,FF,FF,FF,FF,FF,FF,
75962532,00000480,false,Rx,0,8,40,01,FF,FF,FF,FF,FF,FF,
75963481,000004E4,false,Rx,0,8,65,11,FF,FF,FF,FF,FF,FF,
75965456,000004E7,false,Rx,0,8,6D,11,FF,FF,FF,FF,FF,FF,
75966456,000004F2,false,Rx,0,8,73,01,FF,FF,FF,FF,FF,FF,
75967454,000004ED,false,Rx,0,8,6E,11,FF,FF,FF,FF,FF,FF,
75968453,000001B6,false,Rx,0,7,FF,FF,3C,00,00,00,00,00,
75970448,000001A6,false,Rx,0,8,00,00,00,00,00,00,24,FE,
75971476,000004EE,false,Rx,0,8,70,11,FF,FF,FF,FF,FF,FF,
75972521,000004F3,false,Rx,0,8,78,11,FF,01,FF,FF,FF,FF,
75973519,000004F8,false,Rx,0,8,00,11,FF,FF,FF,FF,FF,FF,
75995499,000000A8,false,Rx,0,8,C3,09,00,00,00,0F,03,00,
75997496,000000AA,false,Rx,0,8,B7,09,00,00,FF,FF,04,00,
76005489,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
76009481,000005E0,false,Rx,0,8,10,FF,FF,01,00,FF,FF,FF,
76010484,000001A0,false,Rx,0,8,00,80,00,E8,FE,00,48,52,
76011481,00000130,false,Rx,0,5,00,02,34,3F,22,00,00,00,
76020470,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
76021468,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
76044443,000004C4,false,Rx,0,8,45,12,FF,FF,FF,FF,FF,FF,
76047436,000001D0,false,Rx,0,8,44,FF,4A,C6,00,00,3D,00,
76048435,000000C0,false,Rx,0,2,F5,FF,00,00,00,00,00,00,
76057429,000000EA,false,Rx,0,8,8F,FF,E0,FD,FF,FF,FF,2B,
76067419,000001A6,false,Rx,0,8,00,00,00,00,00,00,B4,FF,
76068418,000001B5,false,Rx,0,6,FF,FF,02,00,08,FF,00,00,
76074410,000001D2,false,Rx,0,6,F0,0F,FF,5C,F0,FF,00,00,
76092395,0000033A,false,Rx,0,5,18,45,81,FD,78,00,00,00,
76095390,000000A8,false,Rx,0,8,BE,04,00,00,00,0F,03,00,
76097388,000000AA,false,Rx,0,8,B2,04,00,00,FF,FF,04,00,
76099384,000000BE,false,Rx,0,5,AF,FF,FF,FF,FF,00,00,00,
76101382,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
76103382,000000C8,false,Rx,0,6,00,80,FD,00,80,52,00,00,
76105383,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
76107376,0000019E,false,Rx,0,8,00,FA,90,FC,F0,63,00,7C,
76109371,000001A0,false,Rx,0,8,00,80,00,E8,FE,00,98,A2,
76111371,00000130,false,Rx,0,5,00,02,34,3F,33,00,00,00,
